"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"1","WSU's plans quickly became a hot topic on local online sites. Though most people applauded plans for the new biomedical center, many deplored the potential loss of the building.","wsus plans quickly became a hot topic on local online sites though most people applauded plans for the new biomedical center many deplored",24,"the","potential",0.0100000000020373,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","But time and again in the report, Sullivan called on CPS to correct problems to improve employee accountability, saying, for example, that measures to keep employees from submitting fraudulent invoices or to block employees from accessing inappropriate websites were not in place.","but time and again in the report sullivan called on cps to correct problems to improve employee accountability saying for example that measures to keep employees from submitting fraudulent invoices or",32,"to","block",0.0200000000040745,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","""The absurdity of attempting to bottle up news of such magnitude was too apparent,"" he would later write.","the absurdity of attempting to bottle up",8,"news","the",0.0499999999956344,TRUE,"years","million","be","to","his","news","character","empty","putting"
"4","""Let your hair down; it looks better.""","let your hair",4,"down","lightly",0.0100000000020373,FALSE,"looks","tight","pale","british","salon","shake","dragged","thirdyear","thus"
"5","House Minority Leader Nancy Pelosi and other top Democrats had called for Weiner's resignation.","house minority leader nancy pelosi",6,"and","top",0.0199999999967986,FALSE,"liberal","instance",NA,NA,NA,NA,NA,NA,NA
"6","The first is the love of self and the second, the love of money. Two Greek words, philautos and philargyros, succinctly express these concepts. Both, I detect, lie at the root of the world's problems. Certainly, this diagnosis is not novel. Why then are these destructive personality traits chronic in the human experience? Further, why are people who possess these attributes permitted to run rampant through communities and societies to the detriment of the greater population? The Protester seeks to curb the second phenomenon.","the first is the love of self and the second the love of money two greek words",18,"philautos","one",0.0100000000020373,FALSE,"just","promise","showed","pujols","black","continues","images","describe","academics"
"7","Added East Orange Mayor Robert Bowser: ""We will not tolerate this kind of violence. ... The shooter picked the wrong city. He will be apprehended.""","added east orange mayor robert bowser we will not tolerate this kind of",14,"violence","year",0.0500000000029104,TRUE,"care","people","go","company","major","violence","came","stuff","issues"
"8","Others are afraid that if they have already had breast cancer, a mammogram could spread new cancer to the other breast, she said. Again, not true.","others are afraid",4,"that","getting",0.0199999999967986,FALSE,"stand","speak","already","fight","political","success","tighten",NA,NA
"9","If Mr. Buffett has a guilty conscience, he can increase donations to charity or simply pay more in taxes. But suggesting we raise the taxes on the wealthy will lead to more problems than it solves.","if mr buffett has a guilty conscience he can increase donations to charity or simply pay more in taxes but suggesting we raise the taxes on the wealthy will lead to more problems than it",36,"solves","was",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","The conference is reportedly working toward a new television deal with ESPN, and Neinas was pushing members to agree to a longterm grant of media rights to the league that would make it all but impossible for schools to bolt.","the conference is reportedly working toward a",8,"new","law",0.0299999999988358,TRUE,"room","new","end","late","public","engineering","camp","finding","jarrett"
"11","Not just by the one who's left at home, wondering whose number that is on your cellphone and where you got those grass stains on your shirt collar, but also by the third party who can reject your advances to go with another suitor.","not just by the one whos left at home wondering whose number that is on your cellphone and where you got those grass stains on your shirt collar but also by the third party who",36,"can","also",0.0300000000061118,TRUE,"members","center","way","can","pm","friends","work","july","well"
"12","In other trading:","in other",3,"trading","countries",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Drage Vukcevich","drage",2,"vukcevich","vukcevich",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","In light of Alex Gonzalez's 413-foot homer on his previous at-bat, Lohse didn't seem to mind walking Gonzalez to load the bases. He did, however, mind walking George Kottaras on a 3-1 pich well out of the strike zone.","in light of alex gonzalezs foot homer on his previous atbat lohse didnt seem to mind walking gonzalez to load the bases he did however mind walking george kottaras on a pich well out",35,"of","said",0.0199999999967986,FALSE,"get","one","year","school","season","come","monday","dont","thats"
"15","Medina Sting 2, North York Blues 6","medina sting north york",5,"blues","times",0,FALSE,"city","state","stock","jets","post","rangers","new","tuesday","last"
"16","""(Abby's) one of 10 (siblings) and I'm one of two,"" Sharp said. ""I think somewhere between two and 10 we'll compromise.""","abbys one of siblings and im one of two sharp said i think somewhere between two and well",19,"compromise","said",0.0299999999988358,FALSE,"get","one","year","school","season","come","monday","dont","thats"
"17","Another strong month of hiring makes it less likely that the Federal Reserve will take additional steps to boost the economy at its meeting next week.","another strong month of hiring makes it less likely that the federal reserve will take additional steps to boost the economy at its",24,"meeting","grow",0,FALSE,"year","will","make","many","new","may","much","beverages","shows"
"18","6680 SW Raleighview Ct; 3,935 square feet; on 1/27/2012 for $360,900","sw raleighview ct square feet on",7,"for","for",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Translation: The main health issue that caused Meyer to resign at UF was a sick program he left on life support. Meyer bolted UF because his program was imploding. He left new coach Will Muschamp with a crumbling shell of a team that was bereft of discipline, decency and depth.","translation the main health issue that caused meyer to resign",11,"at","like",0.0200000000040745,FALSE,"party","uf",NA,NA,NA,NA,NA,NA,NA
"20","Bynum won the tip. The ball was brought downcourt and Bynum slammed it home. In fact Bynum had six of the Lakers first 12 points. Pau Gasol was also effective with four of the points, meaning that 10 of the Lakers' first 12 points were by the big men.","bynum won the tip the ball was brought downcourt and bynum slammed it home in fact",17,"bynum","dont",0.0199999999967986,FALSE,"thats","obama","us","just","happened","service","interview","paul","bar"
"21","WOW! Children's Museum","wow childrens",3,"museum","museum",0.0299999999988358,TRUE,"home","services","items","book","division",NA,NA,NA,NA
"22","""I kept pitching like it was a one-run game,"" he said. ""I never even looked at the scoreboard.""","i kept pitching",4,"like","night",0.0100000000020373,TRUE,"like","coach","three","staff","giants",NA,NA,NA,NA
"23","The prepaid-tuition program has stopped accepting new customers. The Illinois Student Assistance Commission says new leadership has already begun making changes and adding new safeguards.","the prepaidtuition",3,"program",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","That means advancing past the first round, then pushing Miami or Chicago, the likely second-round opponent, to at least six games, if not pulling off the upset.","that means advancing past",5,"the","years",0,FALSE,"year","five","season","two","months","first","three","decade","week"
"25","Bon Jovi is in the middle of a stadium tour to support its latest album, “The Circle.” And tonight’s show — the first of four to be held at New Meadowlands Stadium this summer — might simply feel like “the next important one” to a group accustomed to playing shows of import.","bon jovi is in the middle of a stadium",10,"tour","authority",0.0100000000020373,TRUE,"got","operating","summer","near","plans","ready","aug","tour","figure"
"26","4 cups chicken or fish stock","cups chicken",3,"or","salad",0.0299999999988358,FALSE,"can","tacos","beef","onions","pieces","suit","bloomfields","enchiladas","fish"
"27","But board members also expressed concerns about reducing how much schools get per student, saying a time when the general fund budget is going to be cut is the wrong time to thin the soup on Title I funding, too.","but board members also expressed concerns about reducing how much schools get per student saying a time when the general fund budget is going to be cut is",29,"the","costs",0.0500000000029104,FALSE,"insurance","make","two","half","back","way","oil","last","money"
"28","Set designer Bjorn G. Amelan has supplied transparent room-dividers and a sofa, wryly suggesting that Jones’ memories resemble mental furniture. Much of this brilliant work, set to an eclectic score by Ted Coffey, depends upon a tension between the immediacy of lived experience—dancing, or biting into a juicy, green apple—and our subsequent need to measure, re-arrange and transmit our impressions before they vanish forever.","set designer bjorn g amelan has supplied transparent roomdividers and a sofa wryly suggesting that jones’ memories resemble mental furniture much of this brilliant work set to an eclectic score by ted coffey depends upon a tension between the immediacy of lived experience—dancing or biting into a juicy green apple—and our subsequent need to measure rearrange",57,"and","furniture",0.0199999999967986,FALSE,"transmit",NA,NA,NA,NA,NA,NA,NA,NA
"29","Scholar wrote of Coleridge's plagiarism","scholar wrote of coleridges",5,"plagiarism","will",0.0299999999988358,FALSE,"two","one","may","email","republican","series","noted","terrorists","page"
"30","323 Weber Dr, $55,440","weber",2,"dr","dr",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Thus, San Antonio and Oklahoma City posted the top two records in the West. San Antonio coach Gregg Popovich, not the Coach of the Year for nothing, defiantly rested his stars in a rebuke to the 66-game sprint. It worked; the Spurs won 50 games. Oklahoma City's best players aren't old enough to know tired.","thus san antonio and oklahoma city posted the top two records in the west san antonio coach gregg popovich not the coach of the year for nothing defiantly rested his stars in a rebuke to the game sprint it worked the spurs won games oklahoma citys",47,"best","best",0.0200000000040745,TRUE,"police","general","fund","bureau","group","ban","annual","overall","transportation"
"32","The sisters didn’t even know where he was buried. After their mother died in 2009, they started searching the Internet for any information on Moszek “Mike” Zanger. They soon learned more than their mother ever knew about his final months, thanks to the dogged work of a pair of World War II buffs.","the sisters didn’t even know where he was buried",10,"after","son",0.0299999999988358,FALSE,"mother","private","deep","treasure",NA,NA,NA,NA,NA
"33","""We're on the radar a little bit now,"" Sim said. ""A lot of teams think we can be a sleeper, but we have to come in with a chip on our shoulder. We haven't proven anything yet. We overachieved last year, but we still want to get better.""","were on the radar a little bit now sim said a lot of teams think we can be a sleeper but we have to come",26,"in","in",0.0199999999967986,TRUE,"out",NA,NA,NA,NA,NA,NA,NA,NA
"34","Rutgers coach Kyle Flood, who picked up on the design theme when Schiano left for the NFL, says the new uniforms will make Rutgers ""look like the class of college football.""","rutgers coach kyle flood who picked up on the design theme when schiano left for the nfl says the new uniforms will make rutgers look like the",28,"class","going",0.0299999999988358,FALSE,"place","big","see","new","know","will","want","like","people"
"35","""She sees spider venom as the ""hook"" to get others excited about science, and it works,"" wrote Jane Hunter, dean of the College of Arts and Sciences.","she sees spider venom as the hook",8,"to","get",0.0100000000020373,FALSE,"singer",NA,NA,NA,NA,NA,NA,NA,NA
"36","DUBLIN -- Letting your telephone ring in a courtroom is rarely a good idea. Taking the call is worse.","dublin letting your",4,"telephone","people",0.0299999999988358,TRUE,"public","january","telephone","bushera",NA,NA,NA,NA,NA
"37","Argentine Foreign Minister Hector Timerman increased the rhetoric Sunday after British Defense Secretary Philip Hammond said Argentina should apologize for the ad.","argentine foreign minister hector timerman increased the rhetoric sunday after british defense secretary philip hammond said argentina should",19,"apologize","apologize",0.0200000000040745,TRUE,"roadblock",NA,NA,NA,NA,NA,NA,NA,NA
"38","Yes, Mormons love families. But the family-values facade applies only if you stay in the fold. Former Mormons know the family estrangement and bigotry that often come with questioning or leaving the church.","yes mormons love",4,"families","know",0.0199999999967986,FALSE,"people","game","country","able","university","house","lead","another","money"
"39","The race was marred by a late scare involving Mike Affarano. He smashed into the outer wall after Zach Ralston made contact from behind, then flipped six times before landing on the driver's side. He was treated and released.","the race was marred by a late scare involving mike affarano he smashed into the outer wall after zach ralston made contact from behind then flipped six times before landing on the drivers side he was treated",38,"and","released",0.0100000000020373,FALSE,"st","almost","air","attempted",NA,NA,NA,NA,NA
"40","As the officers and the St. Andres sat in a row behind eight defense lawyers this morning, about a dozen family and friends of the officers watched from the audience.","as the officers and the st andres sat in a row behind eight defense lawyers this morning about a dozen family and friends of the officers",27,"watched","street",0.0299999999988358,FALSE,"involved","also","city","become","field","john","oak","treatment","white"
"41","The glistening court beckoned. As Bowie filed onto the hardwood behind 26-year-old guard/stand-up comedian Terry Hosley, general manager John Wolfe — a man with admittedly no basketball experience — looked on from the sideline. Coach Bob Topp, who spent much of the day working 15 miles down the road as a middle-school athletic director, rolled a half-dozen basketballs underneath the hoop with the help of his college-age daughter. Players continued to trickle in, some wearing the business wear of their 9-to-5 existences.","the glistening court beckoned as bowie filed onto the hardwood behind yearold guardstandup comedian terry hosley general manager john wolfe — a man with admittedly no basketball experience — looked on from the sideline coach bob topp who spent much of the day working miles down the road as a middleschool athletic director rolled a halfdozen basketballs",58,"underneath","state",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","It becomes hard for unions to protect wages in ""industries that have alternatives, where you have companies with lower prices,"" said David Smith, a labor economist at Pepperdine University. ""Markets are just becoming more and more competitive.""","it becomes hard for unions to protect wages in industries that have alternatives where you have companies with lower prices said david",23,"smith","johnson",0.0100000000020373,TRUE,"will","s","smith","learned","instead","shes","agree","vs","beckham"
"43","-- Portland Timbers Media Relations","portland",2,"timbers","state",0.0400000000008731,FALSE,"police","said","got","parks","four","pm","restaurants","found","water"
"44","In recent months, we've received complaints about those charges on British Airways, Air France, Air Canada and Aeromexico, which gets its own update at the end of this column.","in recent months weve received complaints about those charges on british airways air france air canada and aeromexico which gets its",22,"own","lot",0.0400000000008731,FALSE,"world","done","job","better","called","show","rid","excited","bad"
"45","Dwyer said the chief would be open to a civilian expert ""supplementing but not necessarily replacing"" officers in the unit.","dwyer said the chief would be open to a civilian expert supplementing but not necessarily replacing officers in",19,"the","street",0.0299999999988358,FALSE,"involved","also","city","become","field","john","oak","treatment","white"
"46","Cheerleading's catastrophic injuries -- ranging from a fractured spine to death -- have crept up in recent years to a peak of 11 nationwide in 2005-06. More than 65 percent of all catastrophic injuries to female high school athletes in the past quarter-century have been in cheerleading, according to an annual catastrophic injury report by the University of North Carolina's Frederick O. Mueller.","cheerleadings catastrophic injuries ranging from a fractured spine to death have crept up in recent years to",18,"a","in",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Now that NBC's ""Today"" show's 852-week winning streak in the ratings has been snapped, morning shows are having difficulty generating more than a one-week streak. ABC's ""Good Morning America"" topped the ""Today"" show in viewers last week for the second time since 1995. The week before, ""Today"" had recovered first place after losing it for the first time in more than 16 years.","now that nbcs today shows week winning streak in the ratings has been snapped morning shows are having difficulty generating more than a oneweek streak abcs good morning america topped the",32,"today","today",0.0400000000008731,TRUE,"basil","aleksandra",NA,NA,NA,NA,NA,NA,NA
"48","What's more, the fire spread to electrical wires that fell. Firefighters monitored the energized lines until PG&E crews arrived to shut off power.","whats more the fire spread to electrical wires that fell",11,"firefighters","percent",0.0299999999988358,FALSE,"days","hard","line","feet","love","road","behind","cents","stocks"
"49","A mayoral candidate at the time, he said he immediately began trying to pay but received conflicting advice from city tax collectors and the state assessments agency, which administers the credit. ""I tried to pay it today, but they wouldn't let me,"" Conaway said Aug. 23. ""Nobody wanted to take the money.""","a mayoral candidate at the time he said he immediately began trying to pay but received conflicting advice from city tax collectors and the state assessments agency which administers",30,"the","credit",0.0100000000020373,FALSE,"pisa",NA,NA,NA,NA,NA,NA,NA,NA
