"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"1","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.","other friends have similar stories of how they were treated brusquely by laurelwood staff and as often as not the same names keep coming up about a halfdozen friends of mine refuse to step foot in there ever again because of it how",44,"many","many","4","how","41C","others","3","it","42F","many","31A","were","31A","many","3","they","31A","might","31B","many","31B",0.200000000011642,TRUE
"2","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","winter is the time when all sleeps on some level it is a time of turning within to make contact with your own innermost being winter is the best time to do this and as a result get answers for yourself about whatever concerns you it is also a tremendously creative time a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen so that an image of balance can be presented those of you that write we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation person or world to those of you who like priscilla work",127,"with","with","3","work","31B","priscilla","32C","with","21","work","21","day","2","now","2","making","2","working","2","little","2",0.129999999990105,TRUE
"3","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","i am enroute to cornwall again months of slog and sun and sea too always a job needs doing in a tourist",23,"town","town","4","town","3","tourist","41C","a","52J","town","31A","a","42F","group","2","town","2","tourist","32B","tourist","32C",0.190000000002328,TRUE
"4","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!","the one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so",27,"long","long","5","so","51D","and","4","long","41A","long","41B","for","52J","long","41C","and","3","long","31A","so","42C",0.259999999994761,TRUE
"5","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","we attend our friend kendras wedding such",8,"a","joy","3","such","31B","a","3","the","2","bad","2","joy","2","as","2","wasnt","21","the","21","a","21",0.139999999999418,TRUE
"6","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”","a neighbor recommended “chasing fireflies” by charles martin i’d never read anything by martin before although he was",19,"this","this","4","this","31A","this","31B","he","32C","was","31B","snapping","3","local","3","drinking","3","scared","3","worked","3",0.160000000003492,TRUE
"7","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","contains dmae which provides firming and toning benefits enhances facial contours an antiinflammatory that enhances the strength of other antioxidant therapiesvitamin c ester patented a powerful",27,"antioxidant","powerful","31B","a","42F","a","32C","for","2","antioxidant","2","statements","2","tools","2","minutes","21","nice","21","too","21",0.160000000003492,TRUE
"8","for I did not come to condemn the world but to save the world.","for i",3,"did","can","3","look","3","cant","3","have","3","not","3","had","3","should","3","did","3","much","2","wait","2",0.0399999999935972,TRUE
"9","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and i haven’t had one that has changed",85,"my","my","4","changed","41C","mind","3","my","31A","has","42F","my","3","one","32B","changed","32B","years","2","jesus","2",0.210000000006403,TRUE
"10","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","let’s say hypothetically there is a bomb threat inside an airport and there is only minutes remaining it will explode inside the building",24,"there","there","3","couch","31B","the","32C","an","2","are","2","building","31B","entire","2","whites","2","york","21","one","21",0.149999999994179,TRUE
"11","‘Tis all.","‘tis",2,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"12","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was",28,"unconstitutional","was","41C","was","31B","song","42F","was","32B","was","32C","west","21","call","21","song","32C","immense","32A","marred","32A",0.160000000003492,FALSE
"13","I am 32 weeks pregnant!","i am",3,"weeks","wife","3","thinking","3","dye","3","sheer","3","pregnant","3","glad","3","of","3","the","3","to","3","a","3",0.0400000000081491,FALSE
"14","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","i have it on good authority that everyone in this company particularly the strikers recieved gifts in the companyorganised secret santa i also know that the strikers attended the companyfunded xmas party where they partook in the companyfunded luncheon they also recieved vouchers to the value of k",49,"from","from","5","k","51D","the","4","from","41A","from","41B","from","41C","the","3","from","31A","k","42C","k","42F",0.25,TRUE
"15","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.","prepare chicken fillets by flattening out a little on a board they need to be thin and able to roll up",22,"with","with","5","up","51D","a","4","with","41A","with","41B","with","41C","a","3","up","42C","up","42E","up","42F",0.269999999989523,TRUE
"16","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","well im off to clean up my craft space since its a mess after working on my projects for this fun hop have a wonderful week everyone and i hope to have a project or two to share very soon until next time take",45,"care","care","4","care","3","take","41C","care","31A","time","42F","take","32B","care","31B","goes","31B","take","32C","take","31B",0.190000000002328,TRUE
"17","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may truly and devoutly serve you through our",51,"lord","lord","4","and","3","lord","31A","lord","31B","through","32C","lord","3","our","31B","in","2","south","21","life","21",0.139999999999418,TRUE
"18","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.","complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting",36,"in","in","3","go","42F","the","2","go","32C","streets","2","one","31B","soon","31B","to","31B","that","31B","back","31B",0.139999999999418,TRUE
"19","3 T ketchup","t",2,"ketchup","ketchup","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000093132,TRUE
