"","word"
"1","new"
"2","right"
"3","last"
"4","years"
"5","high"
"6","one"
"7","dont"
"8","can"
"9","first"
"10","make"
"11","two"
"12","st"
"13","looks"
"14","los"
"15","cant"
"16","next"
"17","feel"
"18","looking"
"19","pretty"
"20","im"
"21","united"
"22","every"
"23","san"
"24","five"
"25","good"
"26","little"
"27","even"
"28","four"
"29","happy"
"30","ice"
"31","just"
"32","felt"
"33","health"
"34","long"
"35","much"
"36","thanks"
"37","will"
"38","kansas"
"39","said"
"40","social"
"41","sounds"
"42","vice"
"43","get"
"44","join"
"45","look"
"46","ohio"
"47","pleaded"
"48","real"
"49","school"
"50","come"
"51","feels"
"52","let"
"53","officials"
"54","running"
"55","three"
"56","wall"
"57","york"
"58","anyone"
"59","blog"
"60","didnt"
"61","go"
"62","ive"
"63","many"
"64","police"
"65","really"
"66","time"
"67","wait"
"68","wide"
"69","year"
"70","along"
"71","associated"
"72","bmw"
"73","center"
"74","follow"
"75","going"
"76","jesus"
"77","least"
"78","like"
"79","medical"
"80","men"
"81","north"
"82","people"
"83","put"
"84","second"
"85","seemed"
"86","service"
"87","someone"
"88","something"
"89","super"
"90","think"
"91","trying"
"92","want"
"93","white"
"94","also"
"95","anything"
"96","barack"
"97","chief"
"98","city"
"99","couple"
"100","executive"
"101","general"
"102","great"
"103","hard"
"104","jersey"
"105","live"
"106","makes"
"107","mothers"
"108","orange"
"109","parking"
"110","past"
"111","salt"
"112","sigur"
"113","southern"
"114","state"
"115","supreme"
"116","take"
"117","weeks"
"118","world"
"119","cents"
"120","different"
"121","district"
"122","elementary"
"123","friday"
"124","gives"
"125","grand"
"126","heart"
"127","hope"
"128","know"
"129","law"
"130","making"
"131","minimum"
"132","monday"
"133","months"
"134","move"
"135","never"
"136","now"
"137","part"
"138","please"
"139","porcelain"
"140","president"
"141","saturday"
"142","season"
"143","seem"
"144","seven"
"145","six"
"146","stop"
"147","th"
"148","thats"
"149","young"
"150","across"
"151","air"
"152","almost"
"153","another"
"154","april"
"155","around"
"156","atlantic"
"157","best"
"158","better"
"159","brings"
"160","civil"
"161","credit"
"162","day"
"163","days"
"164","doesnt"
"165","earlier"
"166","early"
"167","end"
"168","everyone"
"169","far"
"170","finally"
"171","home"
"172","house"
"173","important"
"174","keep"
"175","land"
"176","las"
"177","lets"
"178","looked"
"179","lot"
"180","louis"
"181","love"
"182","lucky"
"183","middle"
"184","millions"
"185","need"
"186","old"
"187","property"
"188","public"
"189","read"
"190","regular"
"191","report"
"192","rt"
"193","say"
"194","since"
"195","spend"
"196","stay"
"197","students"
"198","tea"
"199","tells"
"200","thank"
"201","things"
"202","third"
"203","told"
"204","treat"
"205","try"
"206","us"
"207","washington"
"208","well"
"209","yesterday"
"210","youre"
"211","youve"
"212","able"
"213","according"
"214","aint"
"215","answer"
"216","arizona"
"217","averaging"
"218","back"
"219","bad"
"220","bank"
"221","believe"
"222","big"
"223","board"
"224","book"
"225","box"
"226","came"
"227","care"
"228","cell"
"229","christie"
"230","coffee"
"231","common"
"232","cook"
"233","council"
"234","customer"
"235","economic"
"236","either"
"237","ever"
"238","familiar"
"239","family"
"240","federal"
"241","find"
"242","finished"
"243","former"
"244","free"
"245","friends"
"246","game"
"247","getting"
"248","give"
"249","glad"
"250","god"
"251","got"
"252","gov"
"253","guys"
"254","half"
"255","hes"
"256","highest"
"257","ill"
"258","items"
"259","lake"
"260","language"
"261","large"
"262","life"
"263","living"
"264","local"
"265","loved"
"266","mailing"
"267","mental"
"268","might"
"269","milk"
"270","moving"
"271","multnomah"
"272","national"
"273","nobody"
"274","number"
"275","obama"
"276","occupy"
"277","oklahoma"
"278","older"
"279","oregon"
"280","per"
"281","percent"
"282","places"
"283","planned"
"284","prime"
"285","proud"
"286","prudential"
"287","quite"
"288","readers"
