"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"1","How are you? Btw thanks for the RT. You gonna be in DC anytime soon? Love to see you. Been way, way too long.",20,"love","to","see","you","been","are","to","can",0.0199999999999818,FALSE
"2","When you meet someone special... you'll know. Your heart will beat more rapidly and you'll smile for no reason.",15,"beat","more","rapidly","and","you'll","i","the","a",0.0100000000002183,FALSE
"3","they've decided its more fun if I don't.",4,NA,"they've","decided","its","more","a","the","at",0,FALSE
"4","So Tired D; Played Lazer Tag & Ran A LOT D; Ughh Going To Sleep Like In 5 Minutes ;)",8,"played","lazer","tag","","ran","tag","lazer","lol",0.0199999999999818,FALSE
"5","Words from a complete stranger! Made my birthday even better :)",5,"words","from","a","complete","stranger","of","lot","great",0.0299999999997453,FALSE
"6","First Cubs game ever! Wrigley field is gorgeous. This is perfect. Go Cubs Go!",4,NA,"first","cubs","game","ever","the","and","will",0.0199999999999818,FALSE
"7","i no! i get another day off from skool due to the wonderful snow (: and THIS wakes me up...damn thing",12,"from","skool","due","to","the","the","be","see",0.0100000000002183,TRUE
"8","I'm coo... Jus at work hella tired r u ever in cali",3,NA,NA,"i'm","coo","jus","of","proud","a",0.0199999999999818,FALSE
"9","The new sundrop commercial ...hehe love at first sight",9,"hehe","love","at","first","sight","the","a","work",0.00999999999976353,FALSE
"10","we need to reconnect THIS WEEK",2,NA,NA,NA,"we","need","need","have","will",0,TRUE
"11","I always wonder how the guys on the auctions shows learned to talk so fast!? all I hear is djsosnekspqnslanskam.",17,"talk","so","fast","all","i","the","of","time",0.0199999999999818,FALSE
"12","Dammnnnnn what a catch",3,NA,NA,"dammnnnnn","what","a","you","do","i",0,FALSE
"13","such a great picture! The green shirt totally brings out your eyes!",11,"shirt","totally","brings","out","your","of","the","on",0.0300000000002001,FALSE
"14","Desk put together, room all set up. Oh boy, oh boy",10,"set","up","oh","boy","oh","oh","boy","but",0.0199999999999818,TRUE
"15","I'm doing it!👦",3,NA,NA,"i'm","doing","it","it","of","proud",0,TRUE
"16","Beauty Brainstorming in the Alchemy office with and Sally Walker!",10,"office","with","and","sally","walker","i","the","a",0.0300000000002001,FALSE
"17","Looking for a new band to blog for the month. anyone interested?",11,"blog","for","the","month","anyone","of","the","and",0.00999999999976353,FALSE
"18","Packing for a quick move down the street... If only I had some movers...",4,NA,"packing","for","a","quick","the","of","lot",0.0199999999999818,FALSE
"19","ford focus hatchback?",2,NA,NA,NA,"ford","focus","focus","hatchback",NA,0,TRUE
"20","RT : According to the National Retail Federation $16.3 BILLION was spent on #MothersDay last year!!",13,"","billion","was","spent","on","a","to","going",0.0100000000002183,FALSE
"21","“: ""The tragedy of life is not that it ends so soon, but that we wait so long to begin it."" - W.M. Lewis”",5,"","the","tragedy","of","life","the","you","of",0.0199999999999818,FALSE
"22","More skating! Come by the check out a movie, eat a great dinner and top it off with great times at the ice rink.",3,NA,NA,"more","skating","come","than","on","some",0.00999999999976353,FALSE
"23","watch your mailbox! : )",2,NA,NA,NA,"watch","your","the","it","me",0.0199999999999818,FALSE
"24","Tommorows the day...",2,NA,NA,NA,"tommorows","the",NA,NA,NA,NA,FALSE
"25","Good questions. RT : Your #brand will be judged based on its #website. Is your website a good brand ambassador?...",11,"will","be","judged","based","on","on","in","the",0.0199999999999818,TRUE
"26","Don't care what others think of you, and you will save yourself a lot of mental energy that instead can be used to push you towards success.",20,"mental","energy","that","instead","can","i","is","was",0.0100000000002183,FALSE
"27","This Ron Artest interview... is it possible to die from laughter?",10,"it","possible","to","die","from","be","the","see",0.0199999999999818,FALSE
"28","Linda! Just looked at my sched & I have to hustle back to Chula for P.M. meetings, so no time 4 lunch. :( Do u meet every Fri?",25,"","lunch","","do","u","you","u","a",0.00999999999976353,TRUE
"29","Bum Squad lets get it! RT : Shout that ninja out for winning",12,"shout","that","ninja","out","for","of","on","the",0.0199999999999818,FALSE
"30","I love you, and I'm so proud of you. From sitting on those stairs on The X Factor, to now. You boys are my inspiration.♥ :) xx",6,"love","you","and","i'm","so","a","i","of",0.0100000000002183,FALSE
"31","Maybe some other time I can't slow down, right across that state line right about now",9,"i","can't","slow","down","right","to","the","know",0.0199999999999818,FALSE
"32","Exhaust leak! arrrgh",3,NA,NA,"exhaust","leak","arrrgh",NA,NA,NA,NA,FALSE
"33","i Love Reading your magazine (: it always cheers me up",4,NA,"i","love","reading","your","know","am","love",0.0199999999999818,FALSE
"34","Tables are all sold out for the Mystique Masquerade Ball.",3,NA,NA,"tables","are","all","you","the","out",0,FALSE
"35","Make one up! It might help you feel better. Alternative: just scream nonsense at the dumb machine.",15,"just","scream","nonsense","at","the","the","a","work",0.0300000000002001,TRUE
"36","ya ik and i never asked him to follow me i only mentioned him once in one of my tweets- i didnt do anything else",3,NA,NA,"ya","ik","and","and","today","someone",0,TRUE
"37","I will <3",2,NA,NA,NA,"i","will","know","am","love",0.00999999999976353,FALSE
"38","Great talking to you guys tonight! Looking forward to your piece next week Jon.",14,"your","piece","next","week","jon","to","week","it",0.0199999999999818,FALSE
"39","Small market baseball. You, know...for the 99%.",6,"market","baseball","you","knowfor","the","are","to","can",0.0100000000002183,FALSE
"40","Sing it!",2,NA,NA,NA,"sing","it","a","it","song",0.0199999999999818,TRUE
"41","it comes on tonight!! not tomorrow!!",5,"it","comes","on","tonight","not","the","my","a",0.0299999999997453,FALSE
"42","maybe? just seems they thought up that idea over sunday brunch and thought it was swell.",11,"that","idea","over","sunday","brunch","was","i","is",0.0199999999999818,FALSE
"43","Thanks for the #FF! Awfully good company to be in.",4,NA,"thanks","for","the","ff","of","the","best",0,FALSE
"44","""The longer we live the more we find we are like other persons."" ~ Oliver Wendell Holmes",13,"we","are","like","other","persons","a","the","you",0.0100000000002183,FALSE
"45","made my list for top 99 women.",7,"list","for","top","","women","the","a","me",0.0199999999999818,FALSE
"46","nice I watched the whole series, LOVED Julia and her mom Erica was such a badass",6,"i","watched","the","whole","series","of","best","and",0.00999999999976353,FALSE
"47","GOP line on Obama gay marriage stance seems to be that he flip-flopped. Really want to use that with Romney as your presidential candidate?",13,"to","be","that","he","flipflopped","is","be","the",0.0300000000002001,FALSE
"48","I know, I know. Then you kick yourself when the fight goes lopsided. But if the upset DOES happen, wow. Nothing like it.",11,"kick","yourself","when","the","fight","of","best","and",0.0199999999999818,FALSE
"49","No stress balls or keg and different crew -- but these guys know how to party",10,"and","different","crew","","but","i","the","a",0.0199999999999818,FALSE
"50","William Davis attorney says client will plead insanity. He faces first-degree murder charge in woman's death",13,"he","faces","firstdegree","murder","charge","charge","murder","is",0.0100000000002183,TRUE
"51","#OccupyMadison GA: ""I always considered myself a liberal until I saw the liberal machine in action. It was ugly.""",14,"i","saw","the","liberal","machine","of","best","and",0,FALSE
"52","Weird thought: we got to witness the change of a millenia, the next change is 40 generations away...imagine what the differences will be!!",9,"to","witness","the","change","of","of","the","best",0,TRUE
"53","got a good one?",3,NA,NA,"got","a","good","of","lot","great",0.00999999999976353,FALSE
"54","love chris brown",3,NA,NA,"love","chris","brown","and","you","it",0.0199999999999818,FALSE
"55","Wit them sexy ass lips",4,NA,"wit","them","sexy","ass","to","ass","me",0.0100000000002183,TRUE
"56","its sounds good",3,NA,NA,"its","sounds","good","a","good","like",0.0199999999999818,TRUE
"57","How (un??)fortunate that those days when every status update was a song lyrics were also the days when I first discovered New Wave...",18,"were","also","the","days","when","of","best","and",0.00999999999976353,FALSE
"58","I had a bomb ass day Chillin' with friends.",9,"ass","day","chillin'","with","friends","the","and","you",0.0199999999999818,FALSE
"59","Working on music for Holiday show on the 23 in Santa Barbara!! OPEN BAR!! Me, Tim from Palin White T's and JR Richards from Dishwalla!!",22,"palin","white","t's","and","jr","i","the","a",0.0199999999999818,FALSE
"60","Hey Nate! Thanks for dropping by yesterday. How was your meal?",10,"by","yesterday","how","was","your","a","to","going",0.0100000000002183,FALSE
"61","#FF : literary lights who brightened my week.",3,NA,NA,"ff","","literary","to","awfully","for",0.0199999999999818,FALSE
"62","Time to shape up! Water, pavement, weights, and zija are going to be my friends. wedding just 4 months away!",5,"time","to","shape","up","water","the","be","on",0.00999999999976353,FALSE
"63","Report the many things that are positive about the University of Arkansas athletics program.",4,NA,"report","the","many","things","of","best","and",0.0199999999999818,FALSE
"64","Athletes/celebrities should have a tool to charge $.99 per RT request. $ to support foundations/charities, fans get involved.",2,NA,NA,NA,"athletescelebrities","should","should","have",NA,0,TRUE
"65","Enjoy!! Stay cool!!",3,NA,NA,"enjoy","stay","cool","in","at","cool",0.0100000000002183,TRUE
"66","""...yo chick she so thirst..."" aye!!! I really don't know what else they're saying tho except that lol",5,"yo","chick","she","so","thirst","much","i","to",0.0199999999999818,FALSE
"67","talks in third person.",2,NA,NA,NA,"talks","in",NA,NA,NA,NA,FALSE
"68",". many things can happen. Only YOU can control your reaction to it. Practice this good",10,"only","you","can","control","your","to","are","can",0.0199999999999818,FALSE
"69","""You will allow me to continue to do what I love."" Big Show's wife?",2,NA,NA,NA,"you","will","are","to","can",0.0100000000002183,FALSE
"70","haha very cute! Have u heard from julie?? Who's that on her fb I'm tryin not to laugh",8,"have","u","heard","from","julie","my","and","a",0.0199999999999818,FALSE
"71","and somedays youre the windshield wiper",2,NA,NA,NA,"and","somedays","i","the","a",0,FALSE
"72","I'm taking Adam! :-)",2,NA,NA,NA,"i'm","taking","of","proud","a",0,FALSE
"73","lets do this",2,NA,NA,NA,"lets","do","do","get","go",0,TRUE
"74","Not much, Ben - how's you?",5,"not","much","ben","","how's","as","the","to",0.00999999999976353,FALSE
"75","Sarah trying to explain to my teacher YOLO, lmfao .... >>",10,"my","teacher","yolo","lmfao","","lmfao","send","day",0.0199999999999818,FALSE
"76","#Inspiring RT : Great minds must be ready not only to take opportunities, but to make them. --Colton",7,"","great","minds","must","be","be","i","talking",0.0300000000002001,TRUE
"77","med school...wow! I could never do that. Am too OCD to be around blood and sick people for long periods of time ;)",19,"and","sick","people","for","long","the","a","me",0.00999999999976353,FALSE
"78","Sleeping? Not likely. RT : Sleeping to",2,NA,NA,NA,"sleeping","not","to","in","not",0,TRUE
"79","Time for lunch!",3,NA,NA,"time","for","lunch","the","a","me",0.0199999999999818,FALSE
"80","Not being dependent on anyone for your happiness >>>",3,NA,NA,"not","being","dependent","the","a","to",0.0199999999999818,FALSE
"81","This humidity is not sitting well with me at all !! #NeedACInSchool D:",3,NA,NA,"this","humidity","is","week","is","year",0,TRUE
"82","Do u know whats creepily??? I Hate Cheesecake. Its Cake with Cheese in front of it!",11,"hate","cheesecake","its","cake","with","a","with","when",0.0100000000002183,TRUE
"83","thanks. Got it at walmart!",2,NA,NA,NA,"thanks","got","for","the","to",0.0199999999999818,FALSE
"84","Still haven't seen #Super8? Every 88th check-in wins a free movie ticket. 45,347 check-ins so far!!",2,NA,NA,NA,"still","haven't","a","can't","real",0,FALSE
"85","RT Congratulations to the for advancing in the #stanleycup Playoffs! They defeated the #Sens in a 4-3 series.",16,"defeated","the","sens","in","a","the","my","of",0.00999999999976353,FALSE
"86","Hey hey hey , can i meet chaaaa ?!",8,"","can","i","meet","chaaaa","know","am","love",0.0199999999999818,FALSE
"87","Ghost Hunters makes me cry :( <3",4,NA,"ghost","hunters","makes","me","me","makes","it",0,TRUE
"88","Who's going to the OVW show tomorrow? your team dominoski will be in the house! First brew after the show is on me!",10,"show","tomorrow","your","team","dominoski","to","heart","in",0.0199999999999818,FALSE
"89","just waking up but #therave last night though>>>>>>",3,NA,NA,"just","waking","up","the","my","like",0,FALSE
"90","at six flags.",3,NA,NA,"at","six","flags","the","a","work",0.0199999999999818,FALSE
"91","Thanks Tom.",2,NA,NA,NA,"thanks","tom","for","the","to",0,FALSE
"92","They're not applauding because you don't have a button!",6,"not","applauding","because","you","don't","to","are","can",0.0100000000002183,FALSE
"93","« im not mad.. it just sucks that i cant show you off.» THIS!.",4,NA,"","im","not","mad","the","to","as",0.0199999999999818,FALSE
"94","I'm at little league majors try outs in",4,NA,"i'm","at","little","league","the","a","stage",0.00999999999976353,FALSE
"95","Where my meatballs at? and Naomi :)",3,NA,NA,"where","my","meatballs","is","day","life",0.0199999999999818,FALSE
"96","Doing some #cufon testing and implementation in #wordpress. What the FOUC d'y'all think of cufon?",4,NA,"doing","some","cufon","testing","more","new","testing",0.0100000000002183,TRUE
"97","lo mejor! it was cool experiencing work through the eyes of an excited teen",4,NA,"lo","mejor","it","was","was","out","be",0.0199999999999818,TRUE
"98","Me: the only b word u should call a girl is beautful! Colin: or a butterfly!",8,"b","word","u","should","call","a","get","ever",0.00999999999976353,FALSE
"99","I just think that the zooming is overused. It needs to be done tastefully. And it's not the point.",2,NA,NA,NA,"i","just","know","am","love",0,FALSE
"100","If you have Firefox or Google Chrome type in ""let it snow"" into google today.",14,"let","it","snow","into","google","was","out","the",0.0199999999999818,FALSE
