"","Sentence.Fragment","try1","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","Correct"
"1","When you breathe, I want to be the air for you. I'll be there for you, I'd live and I'd","die","love","be","rather","fee","literally","nvdeu","seniors","here","by","unplugged",FALSE
"2","Guy at my table's wife got up to go to the bathroom and I asked about dessert and he started telling me about his","marital","own","career","mother","family","name","passion","words","first","home","head",FALSE
"3","I'd give anything to see arctic monkeys this","weekend","is","year","week","one","was","time","point","weekend","will","way",TRUE
"4","Talking to your mom has the same effect as a hug and helps reduce your","stress","own","child","kids","head","face","desk","referral","thoughts","last","next",FALSE
"5","When you were in Holland you were like 1 inch away from me but you hadn't time to take a","picture","lot","good","great","little","new","bit","few","couple","year","day",FALSE
"6","I'd just like all of these questions answered, a presentation of evidence, and a jury to settle the","matter","first","same","time","most","best","state","other","city","last","new",FALSE
"7","I can't deal with unsymetrical things. I can't even hold an uneven number of bags of groceries in each","hand","other","of","with","to","time","week","major","others","district","class",FALSE
"8","Every inch of you is perfect from the bottom to the","top","public","press","he","row","floor","birthday","general","hot","among","avenue",FALSE
"9","I’m thankful my childhood was filled with imagination and bruises from playing","outside","the","and","in","with","time","your","one","on","or","youre",FALSE
"10","I like how the same people are in almost all of Adam Sandler's","movies","the","his","my","this","our","her","all","what","them","its",FALSE
