"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"1","Are you aware of any news organizations that will be livestreaming the Celebration of Life for Jr. Seau on May 11?","are you aware of any news organizations that will be livestreaming the celebration of life",16,"for","the","the","my","this","course","his","it","her","our","them",0.0500000000010914,FALSE
"2","Tina Moore and the Just Us Trio tonight at 9:30. All ages, no cover - nothing but great music!","tina moore and the just us trio tonight at all ages no cover nothing",15,"but","the","it","and","is","to","with","your","was","am","of",0.0299999999988358,FALSE
"3","sounds like it would be Trevor Crowe","sounds like it would be trevor",7,"crowe","the","able","in","an","to","so","good","one","on","allowed",0.0300000000006548,FALSE
"4","Heard about the #WRECK in Wal-Marts parking lot last night in E-ton? Would love to know details, and if the girl is ok!","heard about the",4,"in","new","author","kind","vampire",NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"5","Just watched Rhyme & Reason dope ass documentary. Lots of history. Makes you wonder when did Hip-Hop stop being honest.","just watched rhyme reason dope documentary lots of history makes you wonder when did",15,"hiphop","the","you","it","we","he","they","she","im","my","its",0.0199999999986176,FALSE
"6","Oy! How'd THAT work for you??? RT : Flavored my first cup of coffee with Cumin, not Cinnamon. It's going to be a long day","oy howd that",4,"work","the","is","you","he","we","it","was","they","there","are",0.180000000000291,FALSE
"7","Is anyone else having problems with their twitter account. I keep having to reset my password!","is anyone else having problems with their twitter account i keep having to reset",15,"my","the","be","do","get","make","see","have","go","me","my",0.0500000000010914,TRUE
"8","Nice! I will listen to it at random times.","nice i will listen",5,"to","be","not","have","make","help","also","never","go","give","work",0.0299999999988358,FALSE
"9","I was gonna do that !","i was gonna",4,"do","be","have","get","go","love","say","if","blog","happen","bother",0.0200000000004366,FALSE
"10","Be who you are and say what you feel because those who mind don't matter and those who matter don't mind.","be who you are and say what you feel because those who mind dont",15,"matter","that","the","and","you","is","of","to","it","this","these",0.0300000000006548,FALSE
"11","A trifle consoles us, for a trifle distresses us","a trifle consoles us for a",7,"trifle","the","me","my","this","you","all","us","it","an","their",0.0499999999992724,FALSE
"12","Love their pulled pork!","love their pulled",4,"pork","it","all","back","from","off","down","the","this","her","in",0.069999999999709,FALSE
"13","1reason facebook sucxs is becuz of all the reasons ur acount can get disabled. Its very annoying getting ur account disabled Needs 2 b fixed","reason facebook sucxs is becuz of all the reasons ur acount can",13,"get","th",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"14","have fun! Love Edwardsville!","have fun love",4,"edwardsville","and","the","to","you","it","this","that","of","my","her",0.0300000000006548,FALSE
"15","Always gon be the best 2 me! RT : Kobe Bryant: ""It's always funny to hear the ""Kobe Sucks"" chant because why provoke me...It's fun.""","always gon be the best me",7,"rt","way","to","friend","of","thing","friends","part","when","practices","time",0.0499999999992724,FALSE
"16","When you have an opportunity to watch Kindergarten Cop you take it.","when you have",4,"an","to",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"17","""Cocaine for breakfast yikes! Met her a coachella ....""","for breakfast yikes",4,"met","an","but",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"18","Thanks for following us back. We are in Philadelphia, PA but I know the weather in the Caribbean is great today. Thanks","thanks for following us back we are in philadelphia",10,"pa","the","my","this","his","our","an","their","your","that","order",0.0300000000006548,FALSE
"19","Music on the patio with Three Chord Rodeo cancelled tonight due to cold wind. We will def have them back next season!!","music on the patio with three chord rodeo cancelled tonight due",12,"to","the","was","is","to","it","about","which","on","near","during",0.0300000000006548,TRUE
"20","Ugh. Just haven't felt right all day. Throw up or whatever already.","ugh just",3,"havent","as","to","like","have","the","about","for","in","had","not",0.0299999999988358,FALSE
"21","Thanks for the follow Eric!","thanks",2,"for","to","for","be","so","again","then","in","also","god","let",0.0300000000006548,TRUE
"22","It's that or Hot Topic bondage pants with all the chains.","its that",3,"or","the","is","you","he","we","it","was","they","there","are",0.0200000000004366,FALSE
"23","#tnla12 Information is a means to an end. People care about getting a job, not finding resume books. Link to the situation of the person.","information is a means to an end people care about getting",12,"a","the","it","this","what","to","how","minutes","my","them","his",0.0199999999986176,FALSE
"24","Ces Convention in Las Vegas Jan 2011 Offering discounted group rates or individual rooms Rates Book now www.myvegaspeople.com","ces convention in",4,"las","the","my","this","his","our","an","their","your","that","order",0.0100000000002183,FALSE
"25","how bout lsu:)","how bout",3,"lsu","with",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,FALSE
"26","“: The Patriots just agreed to a one-year deal with free-agent wide receiver Donte Stallworth.” going to work in free agency","“ the patriots just agreed to a oneyear deal with freeagent wide receiver",14,"donte","if","range","in","member","entrance","screen","web","portfolio","eyed",NA,0.0299999999988358,FALSE
"27","Are you going on the air to report?","are you going on",5,"the","to","on","through","into","out","back","for","well","he","in",0.0400000000008731,FALSE
"28","So uh...haven't been on Twitter for a while...","so uhhavent been",4,"on","able","the","in","on","so","to","trying","for","doing","very",0.0100000000002183,TRUE
"29","indeed, I'm a believer! Hope the burrito biz is good","indeed im a believer",5,"hope","few","little","lot","bit","good","new","great","couple","long","very",0.0599999999994907,FALSE
"30","COME visit us! We have #triverahappyhour and we can share a light saber!","come visit us we have and we can",9,"share","are","have","were","had","will","can","all","need","could","got",0.0500000000010914,FALSE
"31","SO LET'S SET THE WORLD ON FIRE~","so lets set",4,"the","up","the","in","of","to","out","aside","it","piece","my",0.0199999999986176,TRUE
"32","Seriously LOVE #2BrokeGirls BEST SHOW EVER!!!","seriously love",3,"best","and","the","to","you","it","this","that","of","my","her",0.0300000000006548,FALSE
"33","sometimes happens when you're dehydrated--drink lots of water and keep your feet lower than your heart!","sometimes happens when youre dehydrateddrink lots of water and keep",11,"your","the","then","it","that","we","in","he","they","is","you",0.0300000000006548,FALSE
"34","We will pack #china with an ad attached inside billions of","we will pack with an ad attached inside billions",10,"of","the","of","our","my","their","was","would","were","and","her",0.0499999999992724,TRUE
"35","The Drake concert was definitely an amazing experience, will always remember this","the drake concert was definitely an amazing experience will",10,"always","the","of","in","with","for","is","it","that","and","has",0.0300000000006548,FALSE
"36","....... wow. cute grammar britt. meant to say *1D as a*","wow cute grammar britt meant to say d",9,"as","that","the","no","it","they","its","to","in","about","anything",0.0299999999988358,FALSE
"37","Ok the Gruner Veltliner pretty good with no food, ok we forgot to eat, sorry, will try again with food.","ok the gruner veltliner pretty good",7,"with","much","good","sure","well","darn","decent","but","fancy","flower","and",0.0100000000002183,FALSE
"38","There is a song, you probably know it, Spring can Really Get You Down The Most","there is a song you probably know it spring can really get you down the",16,"most","the","to","and","in","at","for","just","into","stairs","my",0.0300000000006548,FALSE
"39","The energy of a punk rock show is 1 million times more intense than any hip-hop show.","the energy of a punk rock show is million times",11,"more","dollars","barrels","will","in","at","which","for","government","light","children",0.0499999999992724,FALSE
"40","#takeittothehead video so damn Hott can't wait to see it already know its going to be the hottest video DJ Khaled doing this sh*t","video so hott cant wait to see it already know its going to be the",16,"hottest","best","only","case",NA,NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"41","As a fellow member of , thx! RT : Adding the GLBTRT to my ALA membership, which I should have done years ago.","as a fellow member of thx rt adding the glbtrt",11,"to","same","first","most","world","time","other","way","end","last","best",0.0599999999994907,FALSE
"42","Hey staunch Christians who say Jesus is the reason for the season. Jesus' birthday wasn't actually in December, so remember that.","hey staunch christians who say jesus is the reason for the season jesus birthday wasnt actually in december so",20,"remember","the","was","our","sun","th","page","defeat",NA,NA,NA,0.0200000000004366,FALSE
"43","Thin black phone with blue keyboard buttons lost at ultimate frisbee field. If found, return to Promised Land.","thin black phone with blue keyboard buttons lost at ultimate frisbee field",13,"if","good","example","goal","experiences","destination","communist",NA,NA,NA,NA,0.0799999999999272,FALSE
"44","updated twitter to , some chick from africa had that shit when i signed up but now it's all mine muahahha","updated twitter to",4,"some","the","be","do","get","make","see","have","go","me","my",0.0100000000002183,FALSE
