"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"1","they've decided its more fun if I don't.","theyve decided its more fun if",7,"i","time","rt","find","brenda","dont","love","watch","d","every","game",0.0100000000020373,FALSE
"2","The new sundrop commercial ...hehe love at first sight","the new sundrop commercial hehe love at",8,"first","much","see","love","hate","song","know","even","u","work","first",0.0200000000040745,TRUE
"3","Dammnnnnn what a catch","dammnnnnn what",3,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"4","Looking for a new band to blog for the month. anyone interested?","looking for a new",5,"band","year","music","york","followers","years","song","album","twitter","range","types",0.0199999999967986,FALSE
"5","ford focus hatchback?","ford",2,"focus","focus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"6","RT : According to the National Retail Federation $16.3 BILLION was spent on #MothersDay last year!!","rt according to",4,"the","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"7","More skating! Come by the check out a movie, eat a great dinner and top it off with great times at the ice rink.","more skating come by the check out a movie eat a great dinner",14,"and","point","will","fuck","top","cheese","salad","date","delish","relaxing","rest",0,FALSE
"8","Tommorows the day...","tommorows",2,"the","day",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"9","Good questions. RT : Your #brand will be judged based on its #website. Is your website a good brand ambassador?...","good questions rt your will be judged based on its is your website a good brand",17,"ambassador","new","us","name","ambassador","teamed",NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"10","I love you, and I'm so proud of you. From sitting on those stairs on The X Factor, to now. You boys are my inspiration.♥ :) xx","i love you and im",6,"so","still",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"11","Maybe some other time I can't slow down, right across that state line right about now","maybe some other time i cant slow down right across that state",13,"line","id","super","line","indiana","kickstart","union",NA,NA,NA,NA,0,TRUE
"12","Make one up! It might help you feel better. Alternative: just scream nonsense at the dumb machine.","make one up it might help you feel better alternative",11,"just","just","plywood",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"13","Small market baseball. You, know...for the 99%.","small market baseball you knowfor",6,"the","just","great","ever","right","already","draft","knowfor","team",NA,NA,0.0100000000020373,FALSE
