"","Sentence.Fragment","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"1","The guy in front of me just bought a pound of bacon, a bouquet, and a case of","the","a","and","of","in","it","my","that","his","this"
"2","You're the reason why I smile everyday. Can you follow me please? It would mean the","of","and","to","is","first","new","that","same","for","in"
"3","Hey sunshine, can you follow me and make me the","of","and","to","is","that","first","new","in","same","for"
"4","Very early observations on the Bills game: Offense still struggling but the","of","and","to","is","first","that","new","same","in","for"
"5","Go on a romantic date at the","of","and","to","the","first","is","new","that","same","for"
"6","Well I'm pretty sure my granny has some old bagpipes in her garage I'll dust them off and be on my","the","a","and","to","i","life","is","my","in","heart"
"7","Ohhhhh #PointBreak is on tomorrow. Love that film and haven't seen it in quite some","the","a","of","and","for","that","was","is","more","other"
"8","After the ice bucket challenge Louis will push his long wet hair out of his eyes with his little","the","a","and","of","in","to","my","her","his","way"
"9","Be grateful for the good times and keep the faith during the","of","and","to","is","first","new","that","same","for","in"
"10","If this isn't the cutest thing you've ever seen, then you must be","a","to","in","the","able","more","for","have","so","used"
