"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct"
"1","When you meet someone special... you'll know. Your heart will beat more rapidly and you'll smile for no reason.","when you meet someone special youll know your heart will beat more rapidly and youll",16,"smile",NA,NA,FALSE
"2","The new sundrop commercial ...hehe love at first sight","the new sundrop commercial hehe love at",8,"first",NA,NA,FALSE
"3","we need to reconnect THIS WEEK","we need",3,"to",NA,NA,FALSE
"4","I always wonder how the guys on the auctions shows learned to talk so fast!? all I hear is djsosnekspqnslanskam.","i always wonder how the guys on",8,"the",NA,NA,FALSE
"5","I'm doing it!👦","im",2,"doing",NA,NA,FALSE
"6","Packing for a quick move down the street... If only I had some movers...","packing for a",4,"quick",NA,NA,FALSE
"7","RT : According to the National Retail Federation $16.3 BILLION was spent on #MothersDay last year!!","rt according to the national retail federation",8,"billion",NA,NA,FALSE
"8","More skating! Come by the check out a movie, eat a great dinner and top it off with great times at the ice rink.","more skating come",4,"by",NA,NA,FALSE
"9","watch your mailbox! : )","watch your",3,"mailbox",NA,NA,FALSE
"10","Tommorows the day...","tommorows",2,"the",NA,NA,FALSE
"11","Linda! Just looked at my sched & I have to hustle back to Chula for P.M. meetings, so no time 4 lunch. :( Do u meet every Fri?","linda just looked at my sched i have to hustle back to chula for pm meetings so no time lunch",21,"do",NA,NA,FALSE
"12","Bum Squad lets get it! RT : Shout that ninja out for winning","bum squad lets get it rt shout",8,"that",NA,NA,FALSE
"13","I love you, and I'm so proud of you. From sitting on those stairs on The X Factor, to now. You boys are my inspiration.♥ :) xx","i love you and im so proud of you from sitting on those stairs on the x factor to now you boys are",24,"my",NA,NA,FALSE
"14","Exhaust leak! arrrgh","exhaust leak",3,"arrrgh",NA,NA,FALSE
"15","i Love Reading your magazine (: it always cheers me up","i love reading your magazine it always cheers me",10,"up",NA,NA,FALSE
"16","Tables are all sold out for the Mystique Masquerade Ball.","tables are all sold out for the mystique masquerade",10,"ball",NA,NA,FALSE
"17","Sing it!","sing",2,"it",NA,NA,FALSE
"18","it comes on tonight!! not tomorrow!!","it comes on tonight not",6,"tomorrow",NA,NA,FALSE
"19","maybe? just seems they thought up that idea over sunday brunch and thought it was swell.","maybe just seems",4,"they",NA,NA,FALSE
"20","Thanks for the #FF! Awfully good company to be in.","thanks for the",4,"awfully",NA,NA,FALSE
"21","No stress balls or keg and different crew -- but these guys know how to party","no stress balls or keg and different crew but these guys",12,"know",NA,NA,FALSE
"22","Weird thought: we got to witness the change of a millenia, the next change is 40 generations away...imagine what the differences will be!!","weird thought we got",5,"to",NA,NA,FALSE
"23","Wit them sexy ass lips","wit",2,"them",NA,NA,FALSE
"24","I had a bomb ass day Chillin' with friends.","i",2,"had",NA,NA,FALSE
"25","Hey Nate! Thanks for dropping by yesterday. How was your meal?","hey nate",3,"thanks",NA,NA,FALSE
"26","#FF : literary lights who brightened my week.","literary lights who",4,"brightened",NA,NA,FALSE
"27","Report the many things that are positive about the University of Arkansas athletics program.","report the many things that are positive about the university",11,"of",NA,NA,FALSE
"28","""...yo chick she so thirst..."" aye!!! I really don't know what else they're saying tho except that lol","yo chick she so thirst aye i really dont know what else theyre saying tho",16,"except",NA,NA,FALSE
"29","haha very cute! Have u heard from julie?? Who's that on her fb I'm tryin not to laugh","haha very cute have u heard from julie whos that on her fb im tryin",16,"not",NA,NA,FALSE
"30","and somedays youre the windshield wiper","and somedays youre the windshield",6,"wiper",NA,NA,FALSE
"31","Sarah trying to explain to my teacher YOLO, lmfao .... >>","sarah trying",3,"to",NA,NA,FALSE
"32","med school...wow! I could never do that. Am too OCD to be around blood and sick people for long periods of time ;)","med schoolwow i could never do that am too ocd to",12,"be",NA,NA,FALSE
"33","Not being dependent on anyone for your happiness >>>","not being dependent on anyone for your",8,"happiness",NA,NA,FALSE
"34","This humidity is not sitting well with me at all !! #NeedACInSchool D:","this humidity is",4,"not",NA,NA,FALSE
"35","Do u know whats creepily??? I Hate Cheesecake. Its Cake with Cheese in front of it!","do u",3,"know",NA,NA,FALSE
"36","thanks. Got it at walmart!","thanks got it at",5,"walmart",NA,NA,FALSE
"37","Still haven't seen #Super8? Every 88th check-in wins a free movie ticket. 45,347 check-ins so far!!","still havent",3,"seen",NA,NA,FALSE
"38","They're not applauding because you don't have a button!","theyre not applauding because you dont have a",9,"button",NA,NA,FALSE
