"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"1","If you have an alternative argument, let's hear it! :)","if you have an alternative argument lets",8,"hear","hear","3","to","32C","hear","21","lets","21",0.180000000000291,TRUE
"2","If I were a bear,","if i were a",5,"bear","bear","5","bear","4","bear","41A","bear","41B",0.260000000002037,TRUE
"3","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","winter is the time when all sleeps on some level it is a time of turning within to make contact with your own innermost being winter is the best time to do this and as a result get answers for yourself about whatever concerns you it is also a tremendously creative time a time for artists of all kinds to turn within and to seek images",67,"of","of","4","images","41C","forms","3","of","31A",0.299999999995634,TRUE
"4","State contracts worth over 100 MILLION ringgit!","state contracts",3,"worth","over","2","worth","2","affairs","21","a","21",0.0800000000017462,TRUE
"5","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","either obamacongress etc give in or more likely refuse the group announces that the next device will be detonated in",21,"a","a","4","a","3","in","41C","a","31B",0.279999999998836,TRUE
"6","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","april was a month for new beginnings firstly i finally finished my exams and if all is good i’ll be graduating in may it still feels weird to know that the business degree i’ve been working for four years is finally mine so",44,"now","now","4","now","3","so","41C","now","31A",0.280000000006112,TRUE
"7","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","i was hoping howie would smash his face in the cake my sister made but it seemed like he was more scared of",24,"it","it","4","of","41C","than","3","scared","42F",0.309999999997672,TRUE
"8","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","contains dmae which provides firming",6,"and","and","3","toning","2","provides","32C","and","21",0.139999999999418,TRUE
"9","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and i haven’t had one that has changed",85,"my","my","4","changed","41C","mind","3","my","31A",0.319999999999709,TRUE
"10","‘Tis all.","‘tis",2,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"11","»Scene 2: Shays’ apartment«","�scene",2,"shays’",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"12","Her fiction and non-fiction has appeared in many magazines and reviews including Oprah Magazine. She has been featured in the New York Times, Newsweek, Time, USA Today and on the Today Show, and NPR radio.","her fiction and nonfiction has appeared in many magazines and reviews including oprah magazine she has been featured in the new york times newsweek time usa today and",29,"on","the","4","and","41C","on","31A","on","31B",0.629999999997381,TRUE
"13","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.","“it’s no costume pricklewood i’m the real mccoy” i then got down onto the carpet grasped the feet of the armchair with my toes and",26,"lifted","lifted","4","to","41B","and","41C","it","3",0.209999999999127,TRUE
"14","And I very much doubt if it will end there. Because of all the foregoing factors, and the immediate crisis Murdoch faces, BSkyB’s movers know that he must do this deal….or wind up in very bad shape as a business. There may also come a point at which BSkyB find Murdoch himself simply too toxic to have as a buyer anyway.","and i very much doubt if it will end there because of all the foregoing factors and the immediate crisis murdoch faces bskyb’s movers know that he must do this deal�or wind up in very bad shape as a business there may also come a point at which bskyb find murdoch himself simply too toxic",56,"to","to","4","have","3","to","31A","to","31B",0.239999999997963,TRUE
"15","3 T ketchup","t",2,"ketchup","parent","2","ketchup","2",NA,NA,NA,NA,0.0300000000061118,TRUE
"16","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on organ piano and joe mack and bill salter on bass the band who play both loose and funky without ever sounding sloppy helped produce a more laid back vibe and chandler sounds more relaxed than he did on the earlier album he has some better songs on this one too such as the title cut warm poppy number aboutwell “lovin’ people” on which the presence of a chorus made up on the spot of people who had gathered to provide assistance to a mothers’ help organization also helps temper chandler’s unfortunate tendency towards overearnestness “the naked fool” is about a relationship gone bad which doesn’t have anything new to say but will have a few toes tapping “sold out no more reservations” is an interesting number about a male groupie and “bound to fly” has a nice soaring quality and chandler’s lyrics and delivery mesh well on it if anything the problem here is that chandler is sometimes eclipsed by his backing band—check",186,"“behind","band","21","we","32C","own","32C","charles","32C",0.169999999998254,FALSE
"17","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.","i was worried i wasn’t going to like this and not because i have an unhealthy love of comic book heroes and unrealistic expectations no i was worried because it seems the of people i know had already seen it and enjoyed it even the wife thus wading in with an opinion of ‘pfft�shite’ would prove about as popular as punching a kitten in the face but in the end the fears proved unfounded as i really did like",80,"it","it","5","it","4","like","51D","it","3",0.389999999999418,TRUE
"18","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.","thus began my frantic sprint down the corridor pulling my reluctant suitcase as it bobbed off of anything",19,"in","in","4","of","52J","its","3","in","31A",0.220000000001164,TRUE
"19","Ah, Parga. How many times have we sat in Paxos, looking across at the mainland at night seeing twinkling lights in the far distance? How many times have we wondered just what was it like over there? Well now we know. Unfortunately the place with the twinkling lights was not Parga but some other little community. We got it wrong. Parga was on the itinerary anyway. We concluded it was not worth the detour; two resort-y bays separated by an ancient Turkish fort on a steep hill and a cluster of souvenir shops, tavernas and restaurants. The marina was unwelcoming - we moored alongside a rusting, capsized ferry - and the trudge to buy some provisions took us along a neglected rubbish strewn track. Thomas would not leave the boat for fear we were robbed. But hey! Pull up the gangplank, crack open a beer and experiment with cooking in the galley.","ah parga how many times have we sat in paxos looking across at the mainland at night seeing twinkling lights in the far distance how many times have we wondered just what was it like over there well now we know unfortunately the place with the twinkling lights was not parga but some other little community we got it wrong parga was on the itinerary anyway we concluded it was not worth the detour two resorty bays separated by an ancient turkish fort on a steep hill and a cluster of souvenir shops tavernas and restaurants the marina was unwelcoming we moored alongside a rusting capsized ferry and the trudge to buy some provisions took us along a neglected rubbish strewn track thomas would not leave the boat for fear we",132,"were","were","4","we","51D","we","41C","robbed","3",0.309999999997672,TRUE
"20","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.","outsell spoke to us",5,"about","about","4","us","41C","about","31A","about","31B",0.180000000000291,TRUE
"21","the autumn rains in righteousness.","the autumn",3,"rains","in","3","in","2","rains","3","rains","2",0.0599999999976717,TRUE
"22","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night cant read this one in bed id get up to get another soft drink",37,"and","find","3","drink","31B","soft","42F","and","3",0.230000000003201,TRUE
"23","I’m sad you can’t be with us but we know you’ll be watching. I don’t know if you ever got to eat at Longhorn or not but I hear they cook a really mean steak.","i’m sad you can’t be with",7,"us","the","3","a","3","but","3","his","3",0.190000000002328,FALSE
"24","We talked for a few minutes, and I thanked the secretaries for taking care of my son, and I suggested we go home. My son aggreed and said thank you to the secretaries and placed a death grip on my hand and didn't let go all the way to the parking lot.","we talked for a few",6,"minutes","minutes","4","few","51D","few","41C","minutes","31A",0.269999999996799,TRUE
"25","In shrouds of words,","in",2,"shrouds","same","2","words","2","end","2","house","2",0,FALSE
"26","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers","“hell is larger",4,"today","than","3","today","3","than","2","system","2",0.0999999999985448,TRUE
"27","BRAAMFONTEIN: Johannesburg Theatre manager Rulov Senekal (67) murdered in his apartment by two black attackers.","braamfontein johannesburg theatre manager rulov senekal murdered",8,"in","in","3","his","2","apartment","2","in","21",0.150000000001455,TRUE
"28","Valentines Day falls on February 14th each year. It is a holiday in which lovers express said love for each other, traditionally with flowers, candle lit dinners, heart shaped things, chocolate and greeting cards. The first Valentines cards were hand written but over time have made way for more mass produced greetings. These cards, for the most part, depict images of hearts, cupids and love struck victims.","valentines day falls on february th each year it is a holiday in which lovers express said love for each other traditionally with flowers candle lit dinners heart shaped things chocolate and greeting cards the first valentines cards were hand written but over time have made way",48,"for","for","4","way","41C","more","3","for","31A",0.309999999997672,TRUE
